x-axis,1,2,3
second,Ampere,Ampere,Ampere
-4.050000E-03,-1.839447189331E+03,+288.005020142E+00,+1.557537651052E+03
-4.045000E-03,-1.849497440348E+03,+328.206024170E+00,+1.537437149048E+03
-4.040000E-03,-1.919849197378E+03,+368.407028188E+00,+1.577638153066E+03
-4.035000E-03,-1.919849197388E+03,+368.407028198E+00,+1.587688404073E+03
-4.030000E-03,-1.960050201396E+03,+368.407028198E+00,+1.597738655100E+03
-4.025000E-03,-1.960050201416E+03,+408.608032227E+00,+1.617839157104E+03
-4.020000E-03,-1.960050201416E+03,+408.608032227E+00,+1.577638153086E+03
-4.015000E-03,-2.010301456441E+03,+408.608032227E+00,+1.647989910136E+03
-4.010000E-03,-2.040452209473E+03,+408.608032227E+00,+1.637939659129E+03
-4.005000E-03,-2.080653213501E+03,+408.608032227E+00,+1.658040161133E+03
-4.000000E-03,-2.040452209473E+03,+368.407028188E+00,+1.658040161133E+03
-3.995000E-03,-2.080653213501E+03,+358.356777201E+00,+1.738442169189E+03
-3.990000E-03,-2.040452209473E+03,+328.206024170E+00,+1.798743675222E+03
-3.985000E-03,-2.070602962484E+03,+277.954769124E+00,+1.818844177246E+03
-3.980000E-03,-2.040452209462E+03,+247.804016113E+00,+1.778643173228E+03
-3.975000E-03,-2.000251205444E+03,+237.753765117E+00,+1.808793926250E+03
-3.970000E-03,-1.980150703420E+03,+247.804016113E+00,+1.798743675221E+03
-3.965000E-03,-1.970100452434E+03,+247.804016113E+00,+1.738442169189E+03
-3.960000E-03,-1.960050201405E+03,+207.603012096E+00,+1.738442169189E+03
-3.955000E-03,-1.909798946391E+03,+207.603012085E+00,+1.738442169189E+03
-3.950000E-03,-1.839447189331E+03,+187.502510082E+00,+1.698241165161E+03
-3.945000E-03,-1.839447189331E+03,+207.603012085E+00,+1.658040161133E+03
-3.940000E-03,-1.839447189331E+03,+167.402008067E+00,+1.658040161133E+03
-3.935000E-03,-1.799246185303E+03,+177.452259053E+00,+1.658040161133E+03
-3.930000E-03,-1.799246185303E+03,+167.402008057E+00,+1.617839157104E+03
-3.925000E-03,-1.789195934285E+03,+207.603012085E+00,+1.647989910115E+03
-3.920000E-03,-1.759045181263E+03,+167.402008057E+00,+1.617839157104E+03
-3.915000E-03,-1.678643173218E+03,+167.402008057E+00,+1.607788906109E+03
-3.910000E-03,-1.718844177246E+03,+167.402008057E+00,+1.577638153076E+03
-3.905000E-03,-1.678643173218E+03,+127.201004028E+00,+1.547487400066E+03
-3.900000E-03,-1.638442169201E+03,+127.201004028E+00,+1.537437149059E+03
-3.895000E-03,-1.628391918194E+03,+157.351757061E+00,+1.537437149048E+03
-3.890000E-03,-1.598241165161E+03,+107.100502003E+00,+1.497236145020E+03
-3.885000E-03,-1.558040161133E+03,+87.000000000E+00,+1.497236145020E+03
-3.880000E-03,-1.558040161133E+03,+127.201004028E+00,+1.497236145020E+03
-3.875000E-03,-1.558040161133E+03,+87.000000000E+00,+1.487185894024E+03
-3.870000E-03,-1.537939659107E+03,+87.000000000E+00,+1.477135642994E+03
-3.865000E-03,-1.487688404095E+03,+87.000000000E+00,+1.457035140991E+03
-3.860000E-03,-1.477638153088E+03,+87.000000000E+00,+1.416834136975E+03
-3.855000E-03,-1.467587902081E+03,+87.000000000E+00,+1.457035140991E+03
-3.850000E-03,-1.437437149048E+03,+46.798995972E+00,+1.416834136963E+03
-3.845000E-03,-1.427386898029E+03,+46.798995972E+00,+1.406783885944E+03
-3.840000E-03,-1.397236145020E+03,+6.597991955E+00,+1.376633132935E+03
-3.835000E-03,-1.397236145020E+03,+46.798995972E+00,+1.346482379901E+03
-3.830000E-03,-1.357035140991E+03,+26.698493970E+00,+1.336432128906E+03
-3.825000E-03,-1.357035140991E+03,+36.748744953E+00,+1.376633132935E+03
-3.820000E-03,-1.357035140979E+03,+6.597991943E+00,+1.336432128906E+03
-3.815000E-03,-1.316834136963E+03,-3.452259052E+00,+1.366582881940E+03
-3.810000E-03,-1.316834136963E+03,-13.502510059E+00,+1.356532630933E+03
-3.805000E-03,-1.306783885944E+03,-33.603012085E+00,+1.406783885944E+03
-3.800000E-03,-1.357035140979E+03,-73.804016113E+00,+1.416834136951E+03
-3.795000E-03,-1.326884387958E+03,-73.804016113E+00,+1.467085391986E+03
-3.790000E-03,-1.357035140991E+03,-73.804016113E+00,+1.457035140991E+03
-3.785000E-03,-1.407286396039E+03,-63.753765094E+00,+1.497236145020E+03
-3.780000E-03,-1.437437149035E+03,-33.603012085E+00,+1.497236145020E+03
-3.775000E-03,-1.477638153076E+03,-3.452259051E+00,+1.497236145020E+03
-3.770000E-03,-1.497738655103E+03,+6.597991943E+00,+1.497236145020E+03
-3.765000E-03,-1.537939659094E+03,+6.597991943E+00,+1.527386898028E+03
-3.760000E-03,-1.558040161133E+03,+46.798995984E+00,+1.537437149061E+03
-3.755000E-03,-1.598241165161E+03,+56.849246966E+00,+1.577638153076E+03
-3.750000E-03,-1.578140663134E+03,+87.000000000E+00,+1.577638153076E+03
-3.745000E-03,-1.608291416181E+03,+87.000000000E+00,+1.577638153076E+03
-3.740000E-03,-1.678643173205E+03,+87.000000000E+00,+1.577638153076E+03
-3.735000E-03,-1.708793926252E+03,+97.050250994E+00,+1.577638153076E+03
-3.730000E-03,-1.738944679273E+03,+127.201004028E+00,+1.597738655103E+03
-3.725000E-03,-1.748994930254E+03,+167.402008057E+00,+1.617839157104E+03
-3.720000E-03,-1.759045181274E+03,+167.402008070E+00,+1.658040161133E+03
-3.715000E-03,-1.769095432268E+03,+207.603012085E+00,+1.637939659092E+03
-3.710000E-03,-1.799246185303E+03,+167.402008057E+00,+1.637939659105E+03
-3.705000E-03,-1.849497440351E+03,+167.402008057E+00,+1.627889408125E+03
-3.700000E-03,-1.879648193359E+03,+207.603012085E+00,+1.658040161120E+03
-3.695000E-03,-1.909798946394E+03,+207.603012085E+00,+1.658040161133E+03
